varible_name,method,"AffinityPropagation(damping=0.999, random_state=0)","AgglomerativeClustering(metric='euclidean', n_clusters=13)","KMeans(n_clusters=13, n_init='auto', random_state=0)",MeanShift(bandwidth=2.3),"SpectralClustering(assign_labels='discretize', n_clusters=13, random_state=0)"
fig,seaborn.lineplot,CLUSTER_4,CLUSTER_2,CLUSTER_10,CLUSTER_0,CLUSTER_0
fig,seaborn.lineplot,CLUSTER_4,CLUSTER_2,CLUSTER_10,CLUSTER_0,CLUSTER_0
c,matplotlib.pyplot.colorbar,CLUSTER_4,CLUSTER_2,CLUSTER_10,CLUSTER_0,CLUSTER_0
fig,matplotlib.pyplot.figure,CLUSTER_4,CLUSTER_2,CLUSTER_10,CLUSTER_0,CLUSTER_0
cbytick_obj,matplotlib.pyplot.getp,CLUSTER_4,CLUSTER_2,CLUSTER_10,CLUSTER_0,CLUSTER_0
X,numpy.zeros,CLUSTER_12,CLUSTER_7,CLUSTER_5,CLUSTER_22,CLUSTER_8
Y,numpy.zeros,CLUSTER_12,CLUSTER_7,CLUSTER_5,CLUSTER_22,CLUSTER_8
x,numpy.fromfile,CLUSTER_12,CLUSTER_7,CLUSTER_5,CLUSTER_22,CLUSTER_8
fig,matplotlib.pyplot.gcf,CLUSTER_0,CLUSTER_2,CLUSTER_7,CLUSTER_0,CLUSTER_0
data,pandas.read_csv,CLUSTER_0,CLUSTER_2,CLUSTER_7,CLUSTER_0,CLUSTER_0
x,numpy.asarray,CLUSTER_10,CLUSTER_6,CLUSTER_0,CLUSTER_0,CLUSTER_1
x,numpy.asarray,CLUSTER_10,CLUSTER_6,CLUSTER_0,CLUSTER_0,CLUSTER_1
X_rep,numpy.zeros,CLUSTER_10,CLUSTER_6,CLUSTER_0,CLUSTER_0,CLUSTER_1
X_dem,numpy.zeros,CLUSTER_10,CLUSTER_6,CLUSTER_0,CLUSTER_0,CLUSTER_1
Y_train,numpy.zeros,CLUSTER_10,CLUSTER_6,CLUSTER_0,CLUSTER_0,CLUSTER_1
Y_test,numpy.zeros,CLUSTER_10,CLUSTER_6,CLUSTER_0,CLUSTER_0,CLUSTER_1
X_train,numpy.empty,CLUSTER_10,CLUSTER_6,CLUSTER_0,CLUSTER_0,CLUSTER_1
X_test,numpy.empty,CLUSTER_10,CLUSTER_6,CLUSTER_0,CLUSTER_0,CLUSTER_1
Labels,numpy.argmax,CLUSTER_10,CLUSTER_6,CLUSTER_0,CLUSTER_0,CLUSTER_1
Labels,numpy.argmax,CLUSTER_10,CLUSTER_6,CLUSTER_0,CLUSTER_0,CLUSTER_1
train_label,numpy.asarray,CLUSTER_23,CLUSTER_6,CLUSTER_6,CLUSTER_0,CLUSTER_1
coefs,pandas.Series,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
coefs,pandas.Series,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
coefs,pandas.Series,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
train,pandas.concat,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
imp_coefs,pandas.concat,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
imp_coefs,pandas.concat,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
imp_coefs,pandas.concat,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
train_cat,pandas.get_dummies,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
train,pandas.read_csv,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
train.SalePrice,numpy.log1p,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
train_num[skewed_features],numpy.log1p,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
"train[""OverallQual-Sq""]",numpy.sqrt,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
"train[""AllSF-Sq""]",numpy.sqrt,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
"train[""AllFlrsSF-Sq""]",numpy.sqrt,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
"train[""GrLivArea-Sq""]",numpy.sqrt,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
"train[""SimplOverallQual-Sq""]",numpy.sqrt,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
"train[""ExterQual-Sq""]",numpy.sqrt,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
"train[""GarageCars-Sq""]",numpy.sqrt,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
"train[""TotalBath-Sq""]",numpy.sqrt,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
"train[""KitchenQual-Sq""]",numpy.sqrt,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
"train[""GarageScore-Sq""]",numpy.sqrt,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
rmse,numpy.sqrt,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
rmse,numpy.sqrt,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
stdSc,sklearn.preprocessing.StandardScaler,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
lr,sklearn.linear_model.LinearRegression,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
ridge,sklearn.linear_model.RidgeCV,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
ridge,sklearn.linear_model.RidgeCV,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
lasso,sklearn.linear_model.LassoCV,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
lasso,sklearn.linear_model.LassoCV,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
elasticNet,sklearn.linear_model.ElasticNetCV,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
elasticNet,sklearn.linear_model.ElasticNetCV,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
elasticNet,sklearn.linear_model.ElasticNetCV,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
scorer,sklearn.metrics.make_scorer,CLUSTER_20,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
c,"train_set[""SibSp""],cmap=matplotlib.pyplot.get_cmap",CLUSTER_18,CLUSTER_10,CLUSTER_12,CLUSTER_0,CLUSTER_1
"fig,ax",matplotlib.pyplot.subplots,CLUSTER_18,CLUSTER_10,CLUSTER_12,CLUSTER_0,CLUSTER_1
"fig,ax",matplotlib.pyplot.subplots,CLUSTER_18,CLUSTER_10,CLUSTER_12,CLUSTER_0,CLUSTER_1
"fig,ax",matplotlib.pyplot.subplots,CLUSTER_18,CLUSTER_10,CLUSTER_12,CLUSTER_0,CLUSTER_1
"fig,ax",matplotlib.pyplot.subplots,CLUSTER_18,CLUSTER_10,CLUSTER_12,CLUSTER_0,CLUSTER_1
"fig,ax",matplotlib.pyplot.subplots,CLUSTER_18,CLUSTER_10,CLUSTER_12,CLUSTER_0,CLUSTER_1
rects1,matplotlib.pyplot.bar,CLUSTER_23,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
rects2,matplotlib.pyplot.bar,CLUSTER_23,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
"fig,((a1,a2),(a3,a4),(a5,a6),(a7,a8))",matplotlib.pyplot.subplots,CLUSTER_23,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
"fig,ax",matplotlib.pyplot.subplots,CLUSTER_23,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
index,numpy.arange,CLUSTER_23,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
e_mate,numpy.array,CLUSTER_23,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
e_crom,numpy.array,CLUSTER_23,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
referencia_data,numpy.loadtxt,CLUSTER_23,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
files,os.listdir,CLUSTER_23,CLUSTER_4,CLUSTER_4,CLUSTER_0,CLUSTER_1
onehot_labels,numpy.array,CLUSTER_23,CLUSTER_0,CLUSTER_8,CLUSTER_0,CLUSTER_1
labels,numpy.zeros,CLUSTER_23,CLUSTER_0,CLUSTER_8,CLUSTER_0,CLUSTER_1
"img_train,img_test,label_train,label_test",sklearn.model_selection.train_test_split,CLUSTER_23,CLUSTER_0,CLUSTER_8,CLUSTER_0,CLUSTER_1
r,requests.get,CLUSTER_13,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_1
r,requests.get,CLUSTER_13,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_1
r,requests.get,CLUSTER_13,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_1
df,pandas.DataFrame,CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
new_df,pandas.DataFrame,CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
df,pandas.DataFrame,CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
df,pandas.DataFrame,CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
a,numpy.asarray,CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
result,pandas.merge,CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
